Species Number,Alpha Code,Common Name,Scientific Name,T & E
10,WEGR,Western Grebe,Aechmophorus occidentalis,
11,CLGR,Clark's Grebe,Aechmophorus clarkii,
12,WCGR,Western/Clark's Grebe,,
20,RNGR,Red-necked Grebe,Podiceps grisegena,
30,HOGR,Horned Grebe,Podiceps auritus,
40,EAGR,Eared Grebe,Podiceps nigricollis,
50,LEGR,Least Grebe,Tachybaptus dominicus,
60,PBGR,Pied-billed Grebe,Podilymbus podiceps,
70,COLO,Common Loon,Gavia immer,
80,YBLO,Yellow-billed Loon,Gavia adamsii,
90,ARLO,Arctic Loon,Gavia arctica,
100,PALO,Pacific Loon,Gavia pacifica,
110,RTLO,Red-throated Loon,Gavia stellata,
120,TUPU,Tufted Puffin,Fratercula cirrhata,
130,ATPU,Atlantic Puffin,Fratercula arctica,
140,HOPU,Horned Puffin,Fratercula corniculata,
150,RHAU,Rhinoceros Auklet,Cerorhinca monocerata,
160,CAAU,Cassin's Auklet,Ptychoramphus aleuticus,
170,PAAU,Parakeet Auklet,Aethia psittacula,
180,CRAU,Crested Auklet,Aethia cristatella,
190,WHAU,Whiskered Auklet,Aethia pygmaea,
200,LEAU,Least Auklet,Aethia pusilla,
210,ANMU,Ancient Murrelet,Synthliboramphus antiquus,
230,MAMU,Marbled Murrelet,Brachyramphus marmoratus,Y
231,LBMU,Long-billed Murrelet,Brachyramphus perdix,
232,AMMU,Alaska Marbled Murrelet,Brachyramphus marmoratus,
240,KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris,
250,XAMU,Xantus's Murrelet,,
251,SCMU,Scripps's Murrelet,Synthliboramphus scrippsi,
252,GUMU,Guadalupe Murrelet,Synthliboramphus hypoleucus,
260,CRMU,Craveri's Murrelet,Synthliboramphus craveri,
270,BLGU,Black Guillemot,Cepphus grylle,
290,PIGU,Pigeon Guillemot,Cepphus columba,
300,COMU,Common Murre,Uria aalge,
310,TBMU,Thick-billed Murre,Uria lomvia,
320,RAZO,Razorbill,Alca torda,
340,DOVE,Dovekie,Alle alle,
350,GRSK,Great Skua,Stercorarius skua,
352,SPSK,South Polar Skua,Stercorarius maccormicki,
360,POJA,Pomarine Jaeger,Stercorarius pomarinus,
370,PAJA,Parasitic Jaeger,Stercorarius parasiticus,
380,LTJA,Long-tailed Jaeger,Stercorarius longicaudus,
390,IVGU,Ivory Gull,Pagophila eburnea,
391,MAGU,Magellan Gull,Leucophaeus scoresbii,
400,BLKI,Black-legged Kittiwake,Rissa tridactyla,
410,RLKI,Red-legged Kittiwake,Rissa brevirostris,
420,GLGU,Glaucous Gull,Larus hyperboreus,
430,ICGU,Iceland Gull,Larus glaucoides,
431,THGU,Thayer's Gull,Larus glaucoides thayeri,
440,GWGU,Glaucous-winged Gull,Larus glaucescens,
446,HYGU,Hybrid Gull,,
470,GBBG,Great Black-backed Gull,Larus marinus,
480,SBGU,Slaty-backed Gull,Larus schistisagus,
490,WEGU,Western Gull,Larus occidentalis,
491,YFGU,Yellow-footed Gull,Larus livens,
500,LBBG,Lesser Black-backed Gull,Larus fuscus,
510,HERG,Herring Gull,Larus argentatus,
530,CAGU,California Gull,Larus californicus,
534,UNGU,Unidentified Gull,,
540,RBGU,Ring-billed Gull,Larus delawarensis,
542,BTGU,Band-tailed Gull,Larus belcheri,
550,MEGU,Mew Gull,Larus canus,
551,BHGU,Black-headed Gull,Chroicocephalus ridibundus,
570,HEEG,Heermann's Gull,Larus heermanni,
580,LAGU,Laughing Gull,Leucophaeus atricilla,
590,FRGU,Franklin's Gull,Leucophaeus pipixcan,
600,BOGU,Bonaparte's Gull,Chroicocephalus philadelphia,
601,LIGU,Little Gull,Hydrocoloeus minutus,
610,ROGU,Ross's Gull,Rhodostethia rosea,
620,SAGU,Sabine's Gull,Xema sabini,
630,GBTE,Gull-billed Tern,Gelochelidon nilotica,
640,CATE,Caspian Tern,Hydroprogne caspia,
650,ROYT,Royal Tern,Thalasseus maximus,
652,CRTE,Crested Tern,Thalasseus bergii,
660,ELTE,Elegant Tern,Thalasseus elegans,
670,SATE,Sandwich Tern,Thalasseus sandvicensis,
671,CAYT,Cayenne Tern,Thalasseus acuflavidus eurygnathus,
690,FOTE,Forster's Tern,Sterna forsteri,
700,COTE,Common Tern,Sterna hirundo,
706,HYTE,Hybrid Tern,,
710,ARTE,Arctic Tern,Sterna paradisaea,
720,ROST,Roseate Tern,Sterna dougallii,Y
725,HCRT,Common Tern X Roseate Tern Hybrid,,
730,ALTE,Aleutian Tern,Onychoprion aleuticus,
731,BNTE,Black-naped Tern,Sterna sumatrana,
740,LETE,Least Tern,Sternula antillarum,
741,LITE,Little Tern,Sternula albifrons,
742,ILTE,Interior Least Tern,Sternula antillarum athalassos,Y
743,CLTE,California Least Tern,Sternula antillarum browni,Y
750,SOTE,Sooty Tern,Onychoprion fuscatus,
760,BRTE,Bridled Tern,Onychoprion anaethetus,
761,GRAT,Gray-backed Tern,Onychoprion lunatus,
770,BLTE,Black Tern,Chlidonias niger,
780,WWTE,White-winged Tern,Chlidonias leucopterus,
781,WHIT,Whiskered Tern,Chlidonias hybrida,
790,BRNO,Brown Noddy,Anous stolidus,
791,BLNO,Black Noddy,Anous minutus,
792,BGNO,Blue-gray Noddy,Anous ceruleus,
793,WHTE,White Tern,Gygis alba,
800,BLSK,Black Skimmer,Rynchops niger,
810,BFAL,Black-footed Albatross,Phoebastria nigripes,
811,WAAL,Wandering Albatross,Diomedea exulans,
816,HYAL,Hybrid Albatross,,
820,STAL,Short-tailed Albatross,Phoebastria albatrus,Y
821,LAAL,Laysan Albatross,Phoebastria immutabilis,
822,BBAL,Black-browed Albatross,Thalassarche melanophris,
823,SHAL,Shy Albatross,Thalassarche cauta,
824,WAVA,Waved Albatross,Phoebastria irrorata,
830,YNAL,Yellow-nosed Albatross,Thalassarche chlororhynchos,
860,NOFU,Northern Fulmar,Fulmarus glacialis,
880,COSH,Cory's Shearwater,Calonectris diomedea,
881,STRS,Streaked Shearwater,Calonectris leucomelas,
890,GRSH,Great Shearwater,Ardenna gravis,
900,MASH,Manx Shearwater,Puffinus puffinus,
910,PFSH,Pink-footed Shearwater,Puffinus creatopus,
920,AUSH,Audubon's Shearwater,Puffinus lherminieri,
921,LISH,Little Shearwater,Puffinus assimilis,
922,TRSH,Tropical Shearwater,Puffinus bailloni,
930,BVSH,Black-vented Shearwater,Puffinus opisthomelas,
931,TOSH,Townsend's Shearwater,Puffinus auricularis,
932,NESH,Newell's Shearwater,Puffinus newelli,Y
950,SOSH,Sooty Shearwater,Ardenna grisea,
951,FFSH,Flesh-footed Shearwater,Ardenna carneipes,
960,SHOS,Short-tailed Shearwater,Ardenna tenuirostris,
961,WTSH,Wedge-tailed Shearwater,Ardenna pacifica,
962,BULS,Buller's Shearwater,Ardenna bulleri,
963,CHSH,Christmas Shearwater,Puffinus nativitatis,
980,BCPE,Black-capped Petrel,Pterodroma hasitata,
983,COPE,Cook's Petrel,Pterodroma cookii,
985,HAPE,Hawaiian Petrel,Pterodroma sandwichensis,Y
987,JFPE,Juan Fernandez Petrel,Pterodroma externa,
988,PHPE,Phoenix Petrel,Pterodroma alba,
990,MOPE,Mottled Petrel,Pterodroma inexpectata,
991,BOPE,Bonin Petrel,Pterodroma hypoleuca,
992,BWPE,Black-winged Petrel,Pterodroma nigripennis,
1001,MUPE,Murphy's Petrel,Pterodroma ultima,
1003,STPE,Stejneger's Petrel,Pterodroma longirostris,
1004,TAPE,Tahiti Petrel,Pseudobulweria rostrata,
1010,BUPE,Bulwer's Petrel,Bulweria bulwerii,
1020,CAPE,Cape Petrel,Daption capense,
1030,LTSP,Least Storm-Petrel,Oceanodroma microsoma,
1050,FTSP,Fork-tailed Storm-Petrel,Oceanodroma furcata,
1060,LHSP,Leach's Storm-Petrel,Oceanodroma leucorhoa,
1062,BANP,Band-rumped Storm-Petrel,Oceanodroma castro,
1063,WRSP,Wedge-rumped Storm-Petrel,Oceanodroma tethys,
1070,BLSP,Black Storm-Petrel,Oceanodroma melania,
1071,TRSP,Tristram's Storm-Petrel,Oceanodroma tristrami,
1080,ASSP,Ashy Storm-Petrel,Oceanodroma homochroa,
1090,WISP,Wilson's Storm-Petrel,Oceanites oceanicus,
1101,WHSP,White-throated Storm-Petrel,Nesofregetta fuliginosa,
1110,WFSP,White-faced Storm-Petrel,Pelagodroma marina,
1120,WTTR,White-tailed Tropicbird,Phaethon lepturus,
1130,RBTR,Red-billed Tropicbird,Phaethon aethereus,
1131,RTTR,Red-tailed Tropicbird,Phaethon rubricauda,
1140,MABO,Masked Booby,Sula dactylatra,
1141,BFBO,Blue-footed Booby,Sula nebouxii,
1142,NABO,Nazca Booby,Sula granti,
1150,BRBO,Brown Booby,Sula leucogaster,
1160,RFBO,Red-footed Booby,Sula sula,
1170,NOGA,Northern Gannet,Morus bassanus,
1180,ANHI,Anhinga,Anhinga anhinga,
1190,GRCO,Great Cormorant,Phalacrocorax carbo,
1200,DCCO,Double-crested Cormorant,Phalacrocorax auritus,
1201,GUCO,Guanay Cormorant,Leucocarbo bougainvillii,
1210,NECO,Neotropic Cormorant,Phalacrocorax brasilianus,
1220,BRAC,Brandt's Cormorant,Phalacrocorax penicillatus,
1230,PECO,Pelagic Cormorant,Phalacrocorax pelagicus,
1240,RFCO,Red-faced Cormorant,Phalacrocorax urile,
1250,AWPE,American White Pelican,Pelecanus erythrorhynchos,
1260,BRPE,Brown Pelican,Pelecanus occidentalis,
1280,MAFR,Magnificent Frigatebird,Fregata magnificens,
1281,GRFR,Great Frigatebird,Fregata minor,
1282,LEFR,Lesser Frigatebird,Fregata ariel,
1290,COME,Common Merganser,Mergus merganser,
1300,RBME,Red-breasted Merganser,Mergus serrator,
1310,HOME,Hooded Merganser,Lophodytes cucullatus,
1320,MALL,Mallard,Anas platyrhynchos,
1321,HAWD,Hawaiian Duck,Anas wyvilliana,Y
1322,LADU,Laysan Duck,Anas laysanensis,Y
1323,MHDH,Mallard X Hawaiian Duck Hybrid,,
1325,MBDX,Mallard X American Black Duck Intermediate,,
1326,MBDH,Mallard X American Black Duck Hybrid,,
1327,MALX,Mallard Dominant X American Black Duck Hybrid,,
1330,ABDU,American Black Duck,Anas rubripes,
1331,MEDU,Mexican Duck,Anas diazi,
1332,PBDU,Pacific Black Duck,Anas superciliosa,
1337,ABDX,American Black Duck Dominant X Mallard Hybrid,,
1340,MODU,Mottled Duck,Anas fulvigula,
1350,GADW,Gadwall,Mareca strepera,
1360,EUWI,Eurasian Wigeon,Mareca penelope,
1370,AMWI,American Wigeon,Mareca americana,
1371,FATE,Falcated Teal,Mareca falcata,
1380,EGWT,European Green-winged Teal,Anas crecca crecca,
1390,AGWT,Green-winged Teal,Anas crecca,
1391,BATE,Baikal Teal,Sibirionetta formosa,
1392,GARG,Garganey,Spatula querquedula,
1400,BWTE,Blue-winged Teal,Spatula discors,
1401,UNTE,Unidentified Teal,,
1410,CITE,Cinnamon Teal,Spatula cyanoptera,
1420,NSHO,Northern Shoveler,Spatula clypeata,
1430,NOPI,Northern Pintail,Anas acuta,
1431,WHIP,White-cheeked Pintail,Anas bahamensis,
1436,OHDU,Other Hybrid Duck,,
1440,WODU,Wood Duck,Aix sponsa,
1441,MUDU,Muscovy Duck,Cairina moschata,
1460,REDH,Redhead,Aythya americana,
1461,CPOC,Common Pochard,Aythya ferina,
1470,CANV,Canvasback,Aythya valisineria,
1480,GRSC,Greater Scaup,Aythya marila,
1490,LESC,Lesser Scaup,Aythya affinis,
1491,TUDU,Tufted Duck,Aythya fuligula,
1500,RNDU,Ring-necked Duck,Aythya collaris,
1510,COGO,Common Goldeneye,Bucephala clangula,
1520,BAGO,Barrow's Goldeneye,Bucephala islandica,
1530,BUFF,Bufflehead,Bucephala albeola,
1540,LTDU,Long-tailed Duck,Clangula hyemalis,
1550,HARD,Harlequin Duck,Histrionicus histrionicus,
1570,STEI,Steller's Eider,Polysticta stelleri,Y
1580,SPEI,Spectacled Eider,Somateria fischeri,Y
1590,COEI,Common Eider,Somateria mollissima,
1620,KIEI,King Eider,Somateria spectabilis,
1630,BLSC,Black Scoter,Melanitta americana,
1650,WWSC,White-winged Scoter,Melanitta fusca,
1660,SUSC,Surf Scoter,Melanitta perspicillata,
1670,RUDU,Ruddy Duck,Oxyura jamaicensis,
1680,MADU,Masked Duck,Nomonyx dominicus,
1690,LSGO,Lesser Snow Goose,Chen caerulescens caerulescens,
1691,BLGO,Blue Goose,Chen caerulescens,
1695,SBGI,Snow X Blue Goose Intergrade,,
1698,BGSG,Blue Greater Snow Goose,,
1699,GSGO,Greater Snow Goose,Chen caerulescens atlantica,
1700,ROGO,Ross's Goose,Anser rossii,
1703,SRGH,Snow X Ross's Goose Hybrid,,
1710,GWFG,Greater White-fronted Goose,Anser albifrons,
1711,TABG,Taiga Bean-Goose,Anser fabalis,
1712,PFGO,Pink-footed Goose,Anser brachyrhynchus,
1713,LWFG,Lesser White-fronted Goose,Anser erythropus,
1716,OHGO,Other Hybrid Goose,,
1719,TWFG,Tule White-fronted Goose,Anser albifrons elgasi,
1720,CAGO,Canada Goose,Branta canadensis,
1721,ACGO,Aleutian Canada Goose,Branta hutchinsii leucopareia,
1722,CACG,Cackling Goose,Branta hutchinsii,
1723,LCGO,Large Canada Goose,Branta canadensis maxima,
1729,SCGO,Small Canada Goose,Branta canadensis parvipes,
1730,ATBR,Atlantic Brant,Branta bernicla hrota,
1731,BABI,Black X Atlantic Brant Intergrade,,
1740,BLBR,Black Brant,Branta bernicla nigricans,
1750,BRNG,Barnacle Goose,Branta leucopsis,
1751,HAGO,Hawaiian Goose,Branta sandvicensis,Y
1760,EMGO,Emperor Goose,Anser canagicus,
1770,BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis,
1771,WIWD,West Indian Whistling-Duck,Dendrocygna arborea,
1780,FUWD,Fulvous Whistling-Duck,Dendrocygna bicolor,
1782,MUSW,Mute Swan,Cygnus olor,
1790,WHOS,Whooper Swan,Cygnus cygnus,
1800,WHSW,Whistling Swan,Cygnus columbianus columbianus,
1801,BESW,Bewick's Swan,Cygnus columbianus bewickii,
1810,TRUS,Trumpeter Swan,Cygnus buccinator,
1820,AMFL,American Flamingo,Phoenicopterus ruber,
1830,ROSP,Roseate Spoonbill,Platalea ajaja,
1840,WHIB,White Ibis,Eudocimus albus,
1850,SCIB,Scarlet Ibis,Eudocimus ruber,
1860,GLIB,Glossy Ibis,Plegadis falcinellus,
1870,WFIB,White-faced Ibis,Plegadis chihi,
1880,WOST,Wood Stork,Mycteria americana,Y
1900,AMBI,American Bittern,Botaurus lentiginosus,
1910,LEBI,Least Bittern,Ixobrychus exilis,
1911,YEBI,Yellow Bittern,Ixobrychus sinensis,
1920,GWHE,Great White Heron,Ardea herodias occidentalis,
1940,GBHE,Great Blue Heron,Ardea herodias,
1960,GREG,Great Egret,Ardea alba,
1969,PRHE,Pacific Reef Heron,Egretta sacra,
1970,SNEG,Snowy Egret,Egretta thula,
1980,REEG,Reddish Egret,Egretta rufescens,
1990,TRHE,Tricolored Heron,Egretta tricolor,
2000,LBHE,Little Blue Heron,Egretta caerulea,
2001,CAEG,Cattle Egret,Bubulcus ibis,
2010,GRHE,Green Heron,Butorides virescens,
2020,BCNH,Black-crowned Night-Heron,Nycticorax nycticorax,
2030,YCNH,Yellow-crowned Night-Heron,Nyctanassa violacea,
2040,WHCR,Whooping Crane,Grus americana,Y
2060,SACR,Sandhill Crane,Antigone canadensis,
2061,MSCR,Mississippi Sandhill Crane,Antigone canadensis pulla,Y
2070,LIMP,Limpkin,Aramus guarauna,
2080,KIRA,King Rail,Rallus elegans,
2110,CLRA,Clapper Rail,Rallus longirostris,
2111,CRRA,California Ridgway's Rail,Rallus obsoletus obsoletus,Y
2112,LFRR,Light-footed Ridgway's Rail,Rallus obsoletus levipes,Y
2113,YRRA,Yuma Ridgway's Rail,Rallus obsoletus yumanensis,Y
2120,VIRA,Virginia Rail,Rallus limicola,
2131,YBCR,Yellow-breasted Crake,Hapalocrex flaviventer,
2140,SORA,Sora,Porzana carolina,
2150,YERA,Yellow Rail,Coturnicops noveboracensis,
2160,BLRA,Black Rail,Laterallus jamaicensis,
2161,BBRA,Buff-banded Rail,Gallirallus philippensis,
2162,GURA,Guam Rail,Gallirallus owstoni,Y
2163,EBRA,Eastern Black Rail,Laterallusjamaicensis jamaicensis,
2164,CBRA,California Black Rail,Laterallus jamaicensis coturniculus,
2180,PUGA,Purple Gallinule,Porphyrio martinicus,
2181,PUSW,Purple Swamphen,Porphyrio porphyrio,
2190,COGA,Common Gallinule,Gallinula galeata,
2191,HAGA,Hawaiian Gallinule,Gallinula galeata sandvicensis,Y
2192,MCMO,Mariana Common Moorhen,Gallinula chloropus guami,Y
2201,HACO,Hawaiian Coot,Fulica alai,Y
2210,AMCO,American Coot,Fulica americana,
2211,CARC,Caribbean Coot,Fulica caribaea,
2220,REPH,Red Phalarope,Phalaropus fulicarius,
2230,RNPH,Red-necked Phalarope,Phalaropus lobatus,
2240,WIPH,Wilson's Phalarope,Phalaropus tricolor,
2250,AMAV,American Avocet,Recurvirostra americana,
2260,BNST,Black-necked Stilt,Himantopus mexicanus,
2261,HAST,Hawaiian Stilt,Himantopus mexicanus knudseni,Y
2262,BWST,Black-winged Stilt,Himantopus himantopus,
2270,EUWO,Eurasian Woodcock,Scolopax rusticola,
2280,AMWO,American Woodcock,Scolopax minor,
2290,COSN,Common Snipe,Gallinago gallinago,
2300,WISN,Wilson's Snipe,Gallinago delicata,
2301,PTSN,Pin-tailed Snipe,Gallinago stenura,
2302,SWSN,Swinhoe's Snipe,Gallinago megala,
2310,SBDO,Short-billed Dowitcher,Limnodromus griseus,
2320,LBDO,Long-billed Dowitcher,Limnodromus scolopaceus,
2330,STSA,Stilt Sandpiper,Calidris himantopus,
2340,REKN,Red Knot,Calidris canutus,
2341,RRKN,Rufa Red Knot,Calidris canutus rufa,Y
2350,PUSA,Purple Sandpiper,Calidris maritima,
2360,ROSA,Rock Sandpiper,Calidris ptilocnemis,
2380,SHAS,Sharp-tailed Sandpiper,Calidris acuminata,
2390,PESA,Pectoral Sandpiper,Calidris melanotos,
2400,WRSA,White-rumped Sandpiper,Calidris fuscicollis,
2410,BASA,Baird's Sandpiper,Calidris bairdii,
2420,LESA,Least Sandpiper,Calidris minutilla,
2422,RNST,Red-necked Stint,Calidris ruficollis,
2423,LTST,Long-toed Stint,Calidris subminuta,
2430,DUNL,Dunlin,Calidris alpina,
2440,CUSA,Curlew Sandpiper,Calidris ferruginea,
2450,SPOS,Spoon-billed Sandpiper,Calidris pygmea,
2460,SESA,Semipalmated Sandpiper,Calidris pusilla,
2470,WESA,Western Sandpiper,Calidris mauri,
2480,SAND,Sanderling,Calidris alba,
2490,MAGO,Marbled Godwit,Limosa fedoa,
2500,BARG,Bar-tailed Godwit,Limosa lapponica,
2510,HUGO,Hudsonian Godwit,Limosa haemastica,
2520,BLAG,Black-tailed Godwit,Limosa limosa,
2532,CGRE,Common Greenshank,Tringa nebularia,
2540,GRYE,Greater Yellowlegs,Tringa melanoleuca,
2550,LEYE,Lesser Yellowlegs,Tringa flavipes,
2560,SOSA,Solitary Sandpiper,Tringa solitaria,
2561,WOSA,Wood Sandpiper,Tringa glareola,
2562,MASA,Marsh Sandpiper,Tringa stagnatilis,
2580,WILL,Willet,Tringa semipalmata,
2590,WATA,Wandering Tattler,Tringa incana,
2591,GTTA,Gray-tailed Tattler,Tringa brevipes,
2600,RUFF,Ruff,Calidris pugnax,
2610,UPSA,Upland Sandpiper,Bartramia longicauda,
2620,BBSA,Buff-breasted Sandpiper,Calidris subruficollis,
2630,SPSA,Spotted Sandpiper,Actitis macularius,
2631,COSA,Common Sandpiper,Actitis hypoleucos,
2640,LBCU,Long-billed Curlew,Numenius americanus,
2650,WHIM,Whimbrel,Numenius phaeopus,
2680,BTCU,Bristle-thighed Curlew,Numenius tahitiensis,
2690,NOLA,Northern Lapwing,Vanellus vanellus,
2691,EUDO,Eurasian Dotterel,Charadrius morinellus,
2700,BBPL,Black-bellied Plover,Pluvialis squatarola,
2710,EUGP,European Golden-Plover,Pluvialis apricaria,
2720,AMGP,American Golden-Plover,Pluvialis dominica,
2721,PAGP,Pacific Golden-Plover,Pluvialis fulva,
2729,LEGP,Lesser Golden-Plover,,
2730,KILL,Killdeer,Charadrius vociferus,
2740,SEPL,Semipalmated Plover,Charadrius semipalmatus,
2750,CRPL,Common Ringed Plover,Charadrius hiaticula,
2770,PIPL,Piping Plover,Charadrius melodus,Y
2780,SNPL,Snowy Plover,Charadrius nivosus,
2781,WSPL,Western Snowy Plover,Charadrius nivosus nivosus,Y
2790,LRSP,Lesser Sand-Plover,Charadrius mongolus,
2800,WIPL,Wilson's Plover,Charadrius wilsonia,
2810,MOPL,Mountain Plover,Charadrius montanus,
2820,SURF,Surfbird,Calidris virgata,
2830,RUTU,Ruddy Turnstone,Arenaria interpres,
2840,BLTU,Black Turnstone,Arenaria melanocephala,
2860,AMOY,American Oystercatcher,Haematopus palliatus,
2870,BLOY,Black Oystercatcher,Haematopus bachmani,
2880,NOJA,Northern Jacana,Jacana spinosa,
3120,BTPI,Band-tailed Pigeon,Patagioenas fasciata,
3121,PLPI,Plain Pigeon,Patagioenas inornata,Y
3122,PRPP,Puerto Rican Plain Pigeon,Patagioenas inornata wetmorei,Y
3130,RBPI,Red-billed Pigeon,Patagioenas flavirostris,
3140,WCPI,White-crowned Pigeon,Patagioenas leucocephala,
3141,SNPI,Scaly-naped Pigeon,Patagioenas squamosa,
3151,SPDO,Spotted Dove,Streptopelia chinensis,
3152,AFCD,African Collared-Dove,Streptopelia roseogrisea,
3153,ZEBD,Zebra Dove,Geopelia striata,
3154,WTGD,White-throated Ground-Dove,Gallicolumba xanthonura,
3155,MAFD,Mariana Fruit Dove,Ptilinopus roseicapilla,
3158,PHTD,Philippine Turtle-Dove,Streptopelia bitorquata,
3159,ECDO,Eurasian Collared-Dove,Streptopelia decaocto,
3160,MODO,Mourning Dove,Zenaida macroura,
3161,EADO,Eared Dove,Zenaida auriculata,
3170,ZEND,Zenaida Dove,Zenaida aurita,
3180,WTDO,White-tipped Dove,Leptotila verreauxi,
3181,CADO,Caribbean Dove,Leptotila jamaicensis,
3190,WWDO,White-winged Dove,Zenaida asiatica,
3200,COGD,Common Ground-Dove,Columbina passerina,
3201,RUGD,Ruddy Ground-Dove,Columbina talpacoti,
3210,INDO,Inca Dove,Columbina inca,
