species,sci_name,popest,popestlci,popestuci,first_year_popest,last_year_popest,migrate,Breeding.Biome,Winter.Biome
Phainopepla,Phainopepla nitens,1285683,905747,1775051,2006,2015,M,Aridlands,Southwestern Aridlands
Philadelphia Vireo,Vireo philadelphicus,3968582,3039944,5019728,2006,2015,M,Boreal Forest,Mexico-Central America
Pied-billed Grebe,Podilymbus podiceps,1138963,905996,1412585,2006,2015,M,Wetland,Widespread
Pigeon Guillemot,Cepphus columba,235100,117550,352650,1992,1994,R,Coasts,Marine
Pileated Woodpecker,Dryocopus pileatus,2648713,2398947,2931122,2006,2015,R,Eastern Forest,Temperate North America
Pine Grosbeak,Pinicola enucleator,5530332,4039601,7262401,2006,2015,M,Boreal Forest,Temperate North America
Pine Siskin,Spinus pinus,44719558,37972998,52314211,2006,2015,M,Forest Generalist,Temperate North America
Pine Warbler,Setophaga pinus,13108682,11923661,14327429,2006,2015,M,Eastern Forest,Temperate North America
Pinyon Jay,Gymnorhinus cyanocephalus,755415,525819,1068774,2006,2015,R,Western Forest,Temperate North America
Plumbeous Vireo,Vireo plumbeus,2999048,2194985,3986302,2006,2015,M,Western Forest,Mexico-Central America
Prairie Falcon,Falco mexicanus,97855,76690,121492,2006,2015,M,Aridlands,Southwestern Aridlands
Prairie Warbler,Setophaga discolor,3555356,3156416,4009433,2006,2015,M,Eastern Forest,Caribbean
Prothonotary Warbler,Protonotaria citrea,2069931,1633108,2645686,2006,2015,M,Eastern Forest,Mexico-Central America
Purple Finch,Haemorhous purpureus,6539107,5746681,7363210,2006,2015,M,Forest Generalist,Temperate North America
Purple Gallinule,Porphyrio martinicus,19522,9167,33564,2006,2015,M,Wetland,Widespread Neotropical
Purple Martin,Progne subis,8728591,7776376,9841533,2006,2015,M,Habitat Generalist,South America
Purple Sandpiper,Calidris maritima,25000,16667,37500,2011,2013,M,Arctic Tundra,Coastal
Pygmy Nuthatch,Sitta pygmaea,3103791,2051268,4410534,2006,2015,R,Western Forest,Temperate North America
Pyrrhuloxia,Cardinalis sinuatus,1578426,1076870,2208564,2006,2015,R,Aridlands,Southwestern Aridlands
Razorbill,Alca torda,76000,38000,114000,2000,2002,M,Coasts,Marine
Red-bellied Woodpecker,Melanerpes carolinus,15518241,14095781,16973039,2006,2015,R,Eastern Forest,Temperate North America
Red-breasted Merganser,Mergus serrator,350000,175000,525000,2004,2006,M,Arctic Tundra,Marine
Red-breasted Nuthatch,Sitta canadensis,19689413,17772520,21658078,2006,2015,M,Forest Generalist,Temperate North America
Red-breasted Sapsucker,Sphyrapicus ruber,2755899,1872219,3799342,2006,2015,M,Western Forest,Temperate North America
Red-cockaded Woodpecker,Dryobates borealis,15000,11250,18750,2005,2007,R,Eastern Forest,Temperate North America
Red-eyed Vireo,Vireo olivaceus,130756817,121405110,141235333,2006,2015,M,Forest Generalist,South America
Red-faced Cormorant,Phalacrocorax urile,84500,42250,126750,1992,1994,R,Coasts,Coastal
Red-faced Warbler,Cardellina rubrifrons,252600,70739,503841,2006,2015,M,Western Forest,Mexico-Central America
Red-headed Woodpecker,Melanerpes erythrocephalus,1802639,1587954,2066531,2006,2015,M,Eastern Forest,Temperate North America
Red-naped Sapsucker,Sphyrapicus nuchalis,1974818,1596661,2425112,2006,2015,M,Western Forest,Temperate North America
Red-necked Grebe,Podiceps grisegena,737518,482463,1054730,2006,2015,M,Wetland,Marine
Red-shouldered Hawk,Buteo lineatus,1827010,1607481,2085341,2006,2015,M,Forest Generalist,Temperate North America
Red-tailed Hawk,Buteo jamaicensis,2808115,2579824,3052334,2006,2015,M,Habitat Generalist,Widespread
Red-throated Loon,Gavia stellata,358396,96811,792502,2006,2015,M,Arctic Tundra,Marine
Red-winged Blackbird,Agelaius phoeniceus,172973570,154908749,196698929,2006,2015,M,Habitat Generalist,Temperate North America
Red Crossbill,Loxia curvirostra,9585953,7856459,11542746,2006,2015,M,Forest Generalist,Temperate North America
Red Knot,Calidris canutus,139000,107715,196500,2011,2013,M,Arctic Tundra,Coastal
Reddish Egret,Egretta rufescens,4000,3600,4400,1995,1997,M,Coasts,Coastal
Redhead,Aythya americana,1216200,1022900,1409500,2013,2017,M,Wetland,Temperate North America
Rhinoceros Auklet,Cerorhinca monocerata,900000,450000,1350000,1997,1999,M,Coasts,Marine
Ring-billed Gull,Larus delawarensis,3740458,2828976,4916343,2006,2015,M,Wetland,Temperate North America
Ring-necked Duck,Aythya collaris,527400,370400,684300,2013,2017,M,Wetland,Temperate North America
Ring-necked Pheasant,Phasianus colchicus,16642331,14252196,19372599,2006,2015,Introduced,Introduced,Introduced
Rock Pigeon,Columba livia,16195053,14584425,17988593,2006,2015,Introduced,Introduced,Introduced
Rock Sandpiper,Calidris ptilocnemis,144800,67900,334400,2011,2013,M,Arctic Tundra,Coastal
Rock Wren,Salpinctes obsoletus,3362014,2744880,4115789,2006,2015,M,Aridlands,Southwestern Aridlands
Rose-breasted Grosbeak,Pheucticus ludovicianus,4715733,4058034,5474743,2006,2015,M,Eastern Forest,Widespread Neotropical
Roseate Spoonbill,Platalea ajaja,11000,8250,13750,1997,1999,M,Wetland,Widespread Neotropical
Ross's Goose,Anser rossii,2122006,1909805,2334207,2013,2015,M,Arctic Tundra,Temperate North America
Rough-legged Hawk,Buteo lagopus,296141,248433,370060,2006,2015,M,Arctic Tundra,Temperate North America
Royal Tern,Thalasseus maximus,35206,10179,70873,2006,2015,M,Coasts,Coastal
Ruby-crowned Kinglet,Regulus calendula,99900936,90024695,110791661,2006,2015,M,Boreal Forest,Temperate North America
Ruby-throated Hummingbird,Archilochus colubris,35777111,31236693,40921667,2006,2015,M,Eastern Forest,Mexico-Central America
Ruddy Duck,Oxyura jamaicensis,1334697,970409,1802652,2006,2015,M,Wetland,Widespread
Ruddy Turnstone,Arenaria interpres,245000,163333,367500,2011,2013,M,Arctic Tundra,Coastal
Ruffed Grouse,Bonasa umbellus,16500000,8250000,24750000,2004,2006,R,Forest Generalist,Temperate North America
Rufous-crowned Sparrow,Aimophila ruficeps,601135,407380,851057,2006,2015,R,Aridlands,Southwestern Aridlands
Rufous Hummingbird,Selasphorus rufus,21694644,13724171,32781297,2006,2015,M,Western Forest,Mexico-Central America
Rusty Blackbird,Euphagus carolinus,6804603,4919111,9459126,2006,2015,M,Boreal Forest,Temperate North America
Sage Thrasher,Oreoscoptes montanus,6362519,4673219,8479429,2006,2015,M,Aridlands,Southwestern Aridlands
Sagebrush Sparrow,Artemisiospiza nevadensis,5386123,3477545,8199885,2006,2015,M,Aridlands,Southwestern Aridlands
Sanderling,Calidris alba,300000,120000,750000,2011,2013,M,Arctic Tundra,Coastal
Sandhill Crane,Antigone canadensis,500000,450000,550000,2009,2011,M,Wetland,Widespread
Sandwich Tern,Thalasseus sandvicensis,93890,70418,117363,1984,1986,M,Coasts,Coastal
Savannah Sparrow,Passerculus sandwichensis,168676799,144322771,195333538,2006,2015,M,Grassland,Temperate North America
Say's Phoebe,Sayornis saya,5044646,4348767,5764857,2006,2015,M,Habitat Generalist,Southwestern Aridlands
Scaled Quail,Callipepla squamata,2393345,1766520,3168001,2006,2015,R,Aridlands,Southwestern Aridlands
Scarlet Tanager,Piranga olivacea,2574915,2256623,2956329,2006,2015,M,Eastern Forest,South America
Scissor-tailed Flycatcher,Tyrannus forficatus,7914013,6502356,9635329,2006,2015,M,Grassland,Mexico-Central America
Scott's Oriole,Icterus parisorum,1721724,1332821,2134384,2006,2015,M,Western Forest,Mexico-Central America
Seaside Sparrow,Ammospiza maritima,196782,32213,523319,2006,2015,M,Coasts,Coastal
Sedge Wren,Cistothorus platensis,5017990,4252225,5954334,2006,2015,M,Grassland,Temperate North America
Semipalmated Plover,Charadrius semipalmatus,200000,80000,500000,2011,2013,M,Arctic Tundra,Coastal
Semipalmated Sandpiper,Calidris pusilla,2260000,1728400,2791600,2011,2013,M,Arctic Tundra,Coastal
Sharp-shinned Hawk,Accipiter striatus,405947,303414,524274,2006,2015,M,Forest Generalist,Widespread
Sharp-tailed Grouse,Tympanuchus phasianellus,761942,569936,975726,2006,2015,R,Grassland,Temperate North America
Short-billed Dowitcher,Limnodromus griseus,153000,61200,382500,2011,2013,M,Wetland,Coastal
Short-eared Owl,Asio flammeus,602353,485388,747895,2006,2015,M,Habitat Generalist,Temperate North America
Smith's Longspur,Calcarius pictus,75000,18750,131250,1992,1994,M,Arctic Tundra,Temperate North America
Snow Bunting,Plectrophenax nivalis,14267309,14267309,14267309,2006,2015,M,Arctic Tundra,Temperate North America
Snow Goose,Anser caerulescens,15305450,13774905,16835995,2013,2015,M,Arctic Tundra,Temperate North America
Snowy Egret,Egretta thula,215935,152524,300633,2006,2015,M,Wetland,Widespread
Snowy Owl,Bubo scandiacus,14000,7000,21000,2011,2013,M,Arctic Tundra,Temperate North America
Snowy Plover,Charadrius nivosus,31350,23840,41225,2011,2013,M,Coasts,Coastal
Solitary Sandpiper,Tringa solitaria,189000,75600,472500,2011,2013,M,Wetland,South America
Song Sparrow,Melospiza melodia,126053605,118934257,133938545,2006,2015,M,Habitat Generalist,Temperate North America
Sooty Grouse,Dendragapus fuliginosus,2000000,1000000,3000000,2008,2010,R,Western Forest,Temperate North America
Sora,Porzana carolina,4428137,3481892,5601019,2006,2015,M,Wetland,Temperate North America
Spotted Sandpiper,Actitis macularius,660000,264000,1650000,2011,2013,M,Wetland,Widespread
Spotted Towhee,Pipilo maculatus,35271543,31027431,39773372,2006,2015,M,Western Forest,Temperate North America
Sprague's Pipit,Anthus spragueii,1394136,936560,2009643,2006,2015,M,Grassland,Southwestern Aridlands
Spruce Grouse,Falcipennis canadensis,11000000,5500000,16500000,2007,2009,R,Boreal Forest,Temperate North America
Steller's Eider,Polysticta stelleri,181000,135750,226250,2004,2006,M,Arctic Tundra,Marine
Steller's Jay,Cyanocitta stelleri,2705843,2239068,3237856,2006,2015,R,Western Forest,Temperate North America
Stilt Sandpiper,Calidris himantopus,1243700,418800,2068600,2011,2013,M,Arctic Tundra,Widespread
Summer Tanager,Piranga rubra,11302422,10343397,12384415,2006,2015,M,Eastern Forest,Widespread Neotropical
Surf Scoter,Melanitta perspicillata,600000,450000,750000,2004,2006,M,Wetland,Marine
Surfbird,Calidris virgata,70000,46667,105000,2011,2013,M,Arctic Tundra,Coastal
Swainson's Hawk,Buteo swainsoni,822598,714482,956228,2006,2015,M,Grassland,South America
Swainson's Thrush,Catharus ustulatus,121704609,102456492,144203885,2006,2015,M,Forest Generalist,South America
Swainson's Warbler,Limnothlypis swainsonii,156081,99540,235309,2006,2015,M,Eastern Forest,Caribbean
Swallow-tailed Kite,Elanoides forficatus,7500,3750,11250,2015,2017,M,Eastern Forest,Widespread Neotropical
Swamp Sparrow,Melospiza georgiana,23261464,20193095,26315495,2006,2015,M,Wetland,Temperate North America
Tennessee Warbler,Oreothlypis peregrina,111454361,80906890,149074619,2006,2015,M,Boreal Forest,Widespread Neotropical
Thick-billed Murre,Uria lomvia,8000000,4000000,12000000,1997,1999,M,Coasts,Marine
Townsend's Solitaire,Myadestes townsendi,1050595,834475,1298011,2006,2015,M,Western Forest,Temperate North America
Townsend's Warbler,Setophaga townsendi,21262275,16792636,26233697,2006,2015,M,Western Forest,Mexico-Central America
Tree Swallow,Tachycineta bicolor,18581775,16732180,20563777,2006,2015,M,Habitat Generalist,Widespread
Tricolored Blackbird,Agelaius tricolor,394858,296144,493573,2007,2009,M,Wetland,Temperate North America
Tricolored Heron,Egretta tricolor,57579,34376,88724,2006,2015,M,Wetland,Widespread
Trumpeter Swan,Cygnus buccinator,63016,56714,69318,2014,2016,M,Wetland,Temperate North America
Tufted Titmouse,Baeolophus bicolor,11970837,10921948,13128862,2006,2015,R,Eastern Forest,Temperate North America
Tundra Swan,Cygnus columbianus,183000,129200,236900,2013,2017,M,Arctic Tundra,Temperate North America
Turkey Vulture,Cathartes aura,8418387,7705474,9163886,2006,2015,M,Habitat Generalist,Widespread
Upland Sandpiper,Bartramia longicauda,750000,500000,1125000,2011,2013,M,Grassland,South America
Varied Bunting,Passerina versicolor,69313,27061,135722,2006,2015,M,Aridlands,Mexico-Central America
Varied Thrush,Ixoreus naevius,34514221,26180031,44500981,2006,2015,M,Western Forest,Temperate North America
Vaux's Swift,Chaetura vauxi,418576,284294,607235,2006,2015,M,Western Forest,Mexico-Central America
Veery,Catharus fuscescens,11186101,9451271,13166545,2006,2015,M,Forest Generalist,South America
Verdin,Auriparus flaviceps,3810209,2615935,5392903,2006,2015,R,Aridlands,Southwestern Aridlands
Vermilion Flycatcher,Pyrocephalus rubinus,538032,324197,798482,2006,2015,M,Aridlands,Mexico-Central America
Vesper Sparrow,Pooecetes gramineus,35053955,30378748,40800937,2006,2015,M,Grassland,Southwestern Aridlands
Violet-green Swallow,Tachycineta thalassina,6724535,5560970,8017545,2006,2015,M,Western Forest,Mexico-Central America
Virginia's Warbler,Oreothlypis virginiae,904013,567681,1360062,2006,2015,M,Western Forest,Mexico-Central America
Virginia Rail,Rallus limicola,232547,160326,321031,2006,2015,M,Wetland,Temperate North America
Wandering Tattler,Tringa incana,17500,10000,25000,2011,2013,M,Arctic Tundra,Coastal
Warbling Vireo,Vireo gilvus,52333042,46022570,58752802,2006,2015,M,Forest Generalist,Mexico-Central America
Western Bluebird,Sialia mexicana,5661189,4392144,7058744,2006,2015,M,Western Forest,Temperate North America
Western Grebe,Aechmophorus occidentalis,989858,425689,1889334,2006,2015,M,Wetland,Temperate North America
Western Gull,Larus occidentalis,44003,11262,90819,2006,2015,M,Coasts,Coastal
Western Kingbird,Tyrannus verticalis,28830127,24939575,33543450,2006,2015,M,Grassland,Mexico-Central America
Western Meadowlark,Sturnella neglecta,95124368,83326234,107339715,2006,2015,M,Grassland,Southwestern Aridlands
Western Sandpiper,Calidris mauri,3500000,2333333,5250000,2011,2013,M,Arctic Tundra,Widespread
Western Screech-Owl,Megascops kennicottii,240461,121691,401313,2006,2015,R,Western Forest,Temperate North America
Western Tanager,Piranga ludoviciana,15020244,12899162,17361777,2006,2015,M,Western Forest,Mexico-Central America
Western Wood-Pewee,Contopus sordidulus,8845348,7660907,10112663,2006,2015,M,Western Forest,South America
Whimbrel,Numenius phaeopus,80000,53333,120000,2011,2013,M,Arctic Tundra,Coastal
White-breasted Nuthatch,Sitta carolinensis,10035072,9249484,10873200,2006,2015,R,Forest Generalist,Temperate North America
White-crowned Sparrow,Zonotrichia leucophrys,79258794,63587655,97291972,2006,2015,M,Habitat Generalist,Temperate North America
White-eyed Vireo,Vireo griseus,22090753,20223913,24179468,2006,2015,M,Eastern Forest,Mexico-Central America
White-faced Ibis,Plegadis chihi,1332908,700651,2146390,2006,2015,M,Wetland,Widespread
White-headed Woodpecker,Dryobates albolarvatus,243113,168463,340504,2006,2015,R,Western Forest,Temperate North America
White-rumped Sandpiper,Calidris fuscicollis,1694000,560100,3827900,2011,2013,M,Arctic Tundra,South America
White-tailed Kite,Elanus leucurus,15718,8293,26310,2006,2015,R,Habitat Generalist,Widespread
White-throated Sparrow,Zonotrichia albicollis,162847702,138867549,189194261,2006,2015,M,Boreal Forest,Temperate North America
White-throated Swift,Aeronautes saxatalis,2382771,1600983,3298803,2006,2015,M,Aridlands,Southwestern Aridlands
White-winged Crossbill,Loxia leucoptera,39691698,30030233,51497702,2006,2015,M,Boreal Forest,Temperate North America
White-winged Dove,Zenaida asiatica,5159586,3579714,7462483,2006,2015,M,Aridlands,Southwestern Aridlands
White-winged Scoter,Melanitta fusca,400000,200000,600000,2004,2006,M,Wetland,Marine
White Ibis,Eudocimus albus,1170987,807222,1696093,2006,2015,M,Wetland,Widespread
Wild Turkey,Meleagris gallopavo,6750000,6075000,7425000,2008,2010,R,Forest Generalist,Temperate North America
Willet,Tringa semipalmata,250000,100000,625000,2011,2013,M,Wetland,Coastal
Williamson's Sapsucker,Sphyrapicus thyroideus,294829,209789,398019,2006,2015,M,Western Forest,Temperate North America
Willow Flycatcher,Empidonax traillii,8095093,6902363,9486416,2006,2015,M,Eastern Forest,Widespread Neotropical
Willow Ptarmigan,Lagopus lagopus,12784429,7232901,21298386,2006,2015,M,Arctic Tundra,Temperate North America
Wilson's Phalarope,Phalaropus tricolor,1500000,600000,3750000,2011,2013,M,Wetland,South America
Wilson's Plover,Charadrius wilsonia,8600,5733,12900,2011,2013,M,Coasts,Coastal
Wilson's Snipe,Gallinago delicata,2000000,800000,5000000,2011,2013,M,Wetland,Widespread
Wilson's Warbler,Cardellina pusilla,81271984,65743361,98288305,2006,2015,M,Forest Generalist,Mexico-Central America
Winter Wren,Troglodytes hiemalis,11140437,9052643,13798379,2006,2015,M,Boreal Forest,Temperate North America
Wood Duck,Aix sponsa,2148806,1930697,2371212,2006,2015,M,Wetland,Temperate North America
Wood Stork,Mycteria americana,15700,12560,18840,1994,1996,M,Wetland,Widespread Neotropical
Wood Thrush,Hylocichla mustelina,12191387,10959424,13589692,2006,2015,M,Eastern Forest,Mexico-Central America
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,692935,476075,1023759,2006,2015,R,Western Forest,Temperate North America
Worm-eating Warbler,Helmitheros vermivorum,784060,608710,988276,2006,2015,M,Eastern Forest,Caribbean
Wrentit,Chamaea fasciata,1753863,1095353,2807164,2006,2015,R,Aridlands,Temperate North America
Yellow-bellied Flycatcher,Empidonax flaviventris,13047639,10169586,16383394,2006,2015,M,Boreal Forest,Mexico-Central America
Yellow-bellied Sapsucker,Sphyrapicus varius,13523418,11628336,15891341,2006,2015,M,Eastern Forest,Widespread
Yellow-billed Cuckoo,Coccyzus americanus,8358126,7571171,9214892,2006,2015,M,Eastern Forest,South America
Yellow-billed Loon,Gavia adamsii,12000,8000,16000,2013,2017,M,Arctic Tundra,Marine
Yellow-billed Magpie,Pica nuttalli,396399,319891,491206,2007,2009,R,Western Forest,Temperate North America
Yellow-breasted Chat,Icteria virens,15066335,13315869,16929873,2006,2015,M,Eastern Forest,Mexico-Central America
Yellow-crowned Night-Heron,Nyctanassa violacea,129442,72714,233481,2006,2015,M,Coasts,Widespread
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,11338466,8566820,14826716,2006,2015,M,Wetland,Temperate North America
Yellow-rumped Warbler,Setophaga coronata,173685250,155879524,190742853,2006,2015,M,Forest Generalist,Widespread
Yellow-throated Vireo,Vireo flavifrons,4705278,4250092,5161482,2006,2015,M,Eastern Forest,Mexico-Central America
Yellow-throated Warbler,Setophaga dominica,2039116,1732805,2359505,2006,2015,M,Eastern Forest,Caribbean
Yellow Warbler,Setophaga petechia,92640979,83231903,102629283,2006,2015,M,Forest Generalist,Widespread Neotropical
